Number,Translator,Chinese Sentences,Gloss,Note
train-00048,A,上学要迟到了。,上/学/迟到/要/。,
train-00049,A,上海今天的天气为多云转小雨。,上海/今天/天气/阴/改变/小/雨/。,
train-00050,A,上海站到了。,上海/站/到/。,
train-00051,A,上课的时间到了吗？,上课/时间/到/？,
train-00052,A,下一场几点开演？,下/广场/开始/时间/多少/？,
train-00053,A,下一班车四分钟后会到这儿。,下/汽车2/四分钟/到/。,
train-00054,A,下个月我就18岁了。,下/月/我/年龄/10/8/。,
train-00055,A,下个月我要乘船去美国。,下/月/我/乘船/美国/去/要/。,
train-00056,A,下了大雨。,雨/大/。,
train-00057,A,下午我们还要去图书馆。,下午/我们/图书馆/去/要/。,
train-00058,A,下星期我们去宿营。,下/一周/我们/宿营/去/。,宿营
train-00059,A,下次一定会走运的。,下/次/一定/幸运/会/。,
train-00060,A,下次你想去哪儿？,下/次/你/想/去/哪里/？,
train-00061,A,下次别迟到了。,下/次/迟到/不/。,
train-00062,A,下次请再约我好吗？,下/次/再/约会/可以/？,
train-00063,A,下次轮到谁办生日了。,下/次/办/生日/谁/。,
train-00064,A,下次运气更好。,下/次/运气/更2/好/。,
train-00065,A,下水道堵了。,下/水/管道/堵/。,
train-00066,A,下班一起去吃饭。,下班1/和/去/吃/。,
train-00067,A,下班之前应该不会下雨。,下班1/前2/应该/雨/不/。,
train-00068,A,下班陪你去看。,下班1/陪/你/去/看1/。,
train-00069,A,不上班了吗？,上班1/不/？,
train-00070,A,不了，改天吧。,不/那/时间/。,
train-00071,A,不热吗？,热/不/？,
train-00072,A,没有大问题。,大/问题/没有/。,
train-00073,A,不关你的事。,你/没关系1/。,
train-00074,A,不可推卸的义务。,义务/推/不行2/。,
train-00075,A,不吃了。,吃/够/。,
train-00076,A,不一样的品牌和类型的烟草制品还会有不同的纳税标准。,香烟/商品/牌子/种类/不一样/纳税/标准/不一样/。,
train-00077,A,不一样的国家的教育体系和文化背景都有不一样。,国家/不一样/教育/体系/文化2/背景/不一样/。,
train-00078,A,不喜欢。,不喜欢/。,
train-00079,A,坏了。,坏/。,
train-00080,A,不好意思。,不好意思/。,
train-00081,A,没有质量问题。,质量/问题/没有/。,
train-00082,A,不存在放弃这个选项。,放弃/挑选/不行/。,
train-00083,A,很多事件都值得我们深思。,多/事2/我们/深/思考/要/。,
train-00084,A,不开心也没关系。,开心/不/没关系2/。,
train-00085,A,不必为那事烦恼。,那里/事/忧愁/不/。,
train-00086,A,不必担心我们可以解决的。,担心/不/我们/解决/可以/。,
train-00087,A,不愿意打搅你。,打扰/你/不愿意/。,
train-00088,A,不是一直这样的。,一直/这里/样子/不/。,
train-00089,A,不愿意咖啡影响晚上的睡眠。,咖啡/晚上/睡觉/影响/不愿意/。,
train-00090,A,不明白。,不明白/。,
train-00091,A,不是所有的事情都可以做。,都/事/这里/样子/做/可以/不是/。,
train-00092,A,不是问题。,问题/不是/。,
train-00093,A,最近生活怎么样？,最近/生活/怎么/？,
train-00094,A,期望相遇是最美好的。,期望/没有/相遇/最/好/。,
train-00095,A,不。,不/。,
train-00096,A,不用谢。,谢谢/不/。,
train-00097,A,突然忘记了。,突然/忘记/。,
train-00098,A,不知道怎么感谢。,感谢/怎么/不知道/。,
train-00099,A,不知道说什么感谢你。,说/什么/感谢/你/不知道/。,
train-00100,A,不知道星期五前能不能完成。,星期/五/前/完成/可以/不行2/不知道/。,
train-00101,A,不知道该说什么。,说/什么/不知道/。,
train-00102,A,不知道还会持续多久。,一直/时间/多少/不知道/。,
train-00103,A,不管怎么都要谢谢你。,样子/不管/谢谢/你/要/。,
train-00104,A,不能根据封面判断一本书。,根据/封面/判断/不行2/。,
train-00105,A,不能这样。,这里/样子/不行/。,
train-00106,A,不要丢掉它们。,他们/丢/不行/。,
train-00107,A,不要企图在台上临时努力。,台2/上/临时/努力/不行2/。,
train-00108,A,不要做无益的后悔。,利益/没有/后悔/不/。,
train-00109,A,不要坐在那儿学习了。,坐/那里/学习/不/。,
train-00110,A,不要告诉别人哦。,别人/告诉/不/。,
train-00111,A,不要喝点酒回家。,喝酒/完成/回家/不/。,
train-00112,A,不要因为变老了而难受。,老/难受/不/。,
train-00113,A,不要在电梯捣乱。,电梯/捣乱/不/。,
train-00114,A,不要在电梯内跳。,电梯/里/跳/不/。,
train-00115,A,不要在车门处停留。,汽车2/门/近/站/不/。,
train-00116,A,不要说。,说/不/。,
train-00117,A,不要多此一举了。,用/没有/做/不/。,
train-00118,A,不要在意别人对你的评价。,别人/对/你/评价/重视/不/。,
train-00119,A,不要忘了把垃圾扔掉。,垃圾/扔/忘记/不/。,
train-00120,A,不要找借口，你今天必须完成。,借口/不/今天/完成/一定/。,
train-00121,A,不要抄别人的作业。,别人/作业/模仿/不/。,
train-00122,A,不要把食物吐出来。,食物/吐/不/。,
train-00123,A,不要握住栏杆不放。,栏杆/把握/一直/不行2/。,
train-00124,A,不要放弃希望。,希望/放弃/不/。,
train-00125,A,不要放弃这赢取一百万元的机会。,这里/赚/一百/万/机会/放弃/不/。,
train-00126,A,不要失望。,失望/不/。,
train-00127,A,不要生病。,病/不/。,
train-00128,A,没关系。,没关系2/。,
train-00129,A,不要紧张。,紧张/不/。,
train-00130,A,没关系，忘了他吧。,没关系2/忘记/。,
train-00131,A,不要给对手分数。,给/对手/分数1/不/。,
train-00132,A,不要去触碰底线。,最后/线/经过/不/。,
train-00133,A,不要让我等得太久。,让/我/等/一直/不/。,
train-00134,A,要掌握机会。,机会/掌握/要/。,
train-00135,A,不要让牛奶洒出来。,牛奶/泄漏/不/。,
train-00136,A,不要忘记带的物品。,带1/东西/忘记/不/。,
train-00137,A,不要靠在电梯门上。,电梯/门/依靠/不/。,
train-00138,A,不请吃就捣乱。,请客/吃/不/捣乱/会/。,
train-00139,A,买房子很重要啊。,房子/买/重要/。,
train-00140,A,小事情。,小/事情1/。,
train-00141,A,我不想给你增加麻烦。,给/你/增加/麻烦/不愿意/。,
train-00142,A,与你合作很愉快。,和/你/合作/开心/。,
train-00143,A,世界上只有2个国家拥有这项技术。,这里/技术/世界/二/国家/有/。,
train-00144,A,世界不是稳定不变的。,世界/稳定/不/改变/不是/。,
train-00145,A,世界各国能为中东和平做点什么呢？,世界/每/国家/为/中/东/和平/做/什么/可以/？,
train-00146,A,业余时间你都干什么？,业余/时间/你/做/什么/？,
train-00147,A,东京的物价太贵了。,东京/东西/贵/。,
train-00148,A,东北黑土地是国家粮食安全的重要保障。,东2/北/黑/土地/对/国家/粮食/安全/重要/。,
train-00149,A,东北黑土地是我国重要的农业生产基地之一。,东2/北/黑/土地/我/国家/重要/农业/生产1/基/房/是/。,
train-00150,A,东北黑土地面临着发展危机。,东2/北/黑/土地/发展/危险1/。,
train-00151,A,东南亚种植的榴莲，中国人买的多。,东2/南/亚洲/种植/榴莲/中国/人/买/多/。,
train-00152,A,东岛是我国西沙群岛之中的一个小岛。,东2/岛屿/中国/西沙群岛/属于3/。,
train-00153,A,他俩没有说话。,他俩/说话/没有/。,
train-00154,A,2边剪短些，但后面不要剪得太多。,左右/短/后/短/不/。,
train-00155,A,严寒的冬天，这些树被冻死了。,冬天/树/冷2/死/多/。,
train-00156,A,设计和材料不一样，价格也不一样。,有/设计/材料/不一样/价格/不一样/。,
train-00157,A,中俄一直保持良好关系。,中国/俄罗斯/关系/一直/好/。,
train-00158,A,中午休息。,中午/休息/。,
train-00159,A,中午的饭菜好难吃。,中午/饭/吃/坏/。,
train-00160,A,中国GDP保持稳定增长。,中国/GDP/稳定/升/。,GDP
train-00161,A,中国人喜欢存钱是全球出了名的。,中国/人/储蓄/喜欢/地球/著名/。,
train-00162,A,中国用和平谈判的方式来解决南海问题。,中国/解决/南海/问题/方法/和平/。,
train-00163,A,中国信息通信业取得了快速的发展。,中国/信息/通信/发展/快/。,
train-00164,A,中国北方的沙尘暴是从哪里来的？,中国/北/方/沙子/狂风/哪里/来/？,
train-00165,A,中国古人对该湖泊很少有了解。,中国/古代/人/这里/湖/了解2/少/。,
train-00166,A,中国在海南省种植的榴莲树，超过了30000亩。,中国/海南/种植/榴莲/三/万/亩/超/。,
train-00167,A,中国对粮食安全极为重视。,中国/粮食/安全/重视/。,
train-00168,A,中国香烟的税率为5%。,中国/香烟/税收/百分数/五/。,
train-00169,A,中国成为世界第二经济体。,中国/世界/第二2/经济/身体/是/。,
train-00170,A,中国消费能力有提高。,中国/消费1/能力/提高/有/。,
train-00171,A,中国是世界人口最多的国家。,中国/世界/人/最2/多/。,
train-00172,A,中国本土榴莲在运输上更占优势，榴莲会更新鲜。,中国/种植/榴莲/运输/优势/有/，/新鲜/更1/。,
train-00173,A,中国烟草公司成为世界第二大上市公司。,中国/香烟/公司/世界/第二2/上/市1/公司/是/。,
train-00174,A,中国的自来水不能直接喝，必须烧开后饮用。,中国/自来水/喝/不行2/煮/要/。,
train-00175,A,中国队进入了决赛。,中国/队伍/决赛/进/完了/。,
train-00176,A,中美2国的友谊有进步。,中国/美国/友谊/进步/有/。,
train-00177,A,为了减肥，她每天都跑步。,为/减少/重量/她/每天/跑步/。,
train-00178,A,为了生活，我希望一个月能赚5000港币。,为/生活/我/一/月/赚/五/千/香港/钱/希望/。,
train-00179,A,为什么不相信？,不信/为什么/？,
train-00180,A,为什么他车上有凹痕？,他/车/凹/有/为什么/？,
train-00181,A,为什么会这样？,这里/样/为什么/？,
train-00182,A,为什么呆在家里？,在/家/为什么/？,
train-00183,A,为什么呢？,为什么/？,
train-00184,A,为什么它的性能这么好？,它/属性/好/为什么/？,
train-00185,A,为什么带鱼受到中国人的喜欢？,带鱼/中国/人/喜欢/为什么/？,
train-00186,A,为什么我国不能执行八小时工作制呢？,中国/八/小时/工作/执行/不能2/为什么/？,
train-00187,A,为什么要给我增加麻烦？,给/我/增加/麻烦/为什么/？,
train-00188,A,为什么这么乱？,乱/为什么/？,
train-00189,A,为什么这件事情会被发现呢？,这里/事情/发现/为什么/？,
train-00190,A,为何香皂销售降低了10%？,香皂/卖/降/百分数/十/为什么/？,
train-00191,A,为看足球比赛而旷课，那可不行。,足球/比赛/逃跑/课/看/不能2/。,
train-00192,A,为社会做贡献。,为/社会/贡献/。,
train-00193,A,主题教育走深走实。,标题/教育/深/真1/做/要/。,
train-00194,A,乘客怎么反映他们的意见呢？,乘客/意见/怎么/？,
train-00195,A,给我一个这样的东西。,这里/样子/东西/给/我/。,
train-00196,A,像个蛋糕。,蛋糕1/像/。,
train-00197,A,书一到我们就给你打电话。,书/到/我/电话/会/。,
train-00198,A,书上有许多汉字。,书/汉/字/多/。,
train-00199,A,书后面几页很模糊。,书/后/页/模糊/。,
train-00200,A,书店五周年店庆，全场降价35%。,书/店/五/周年/祝/都/广场/钱/降/百分数/30/5/。,
train-00201,A,书店不是第一次搞这种活动。,书/店/第一次/这里/活动/不是/。,
train-00202,A,买的多就送特价优惠券。,买/多/打折/票/给/。,
train-00203,A,乱丢花生壳是不文明的行为。,花生/随便2/丢/文明/不/。,
train-00204,A,争论过后很久，她才平静下来。,吵架/时间/长/她/安静/。,
train-00205,A,事情进展得怎么样？,事情/发展/怎么/？,
train-00206,A,二楼是我们的宿舍。,二/楼层/我们/宿舍/是/。,
train-00207,A,二氧化碳变汽油技术还处于实验室研究阶段。,二氧化碳/改变/汽油/技术/研究/阶段2/是/。,
train-00208,A,二氧化碳转化为汽油技术的发展还可以激发更多的创新。,二氧化碳/改变/汽油/技术/鼓励/多/创新/。,
train-00209,A,云吞面好了。,云/吞/面/好/。,
train-00210,A,五谷种植能够因地制宜。,五/谷/种植/根据/土地/改变/可以/。,
train-00211,A,享受大自然的美好。,大/自然/美好/享受/要/。,
train-00212,A,享受一天。,一天/享受/有/。,
train-00213,A,亲爱的，生日快乐。,亲爱/生日/快乐/。,
train-00214,A,人与自然是共生关系。,人/自然/共/生/关系/是/。,
train-00215,A,人们可以通过无线电发出求援信号。,人/无线电话/救/信号/发/可以/。,
train-00216,A,人们在这里一边喝着咖啡一边聊天。,这里/人/咖啡/喝/聊天/可以/。,
train-00217,A,人们是如何选择应该投票给哪个政党？,政治/党2/人/选择/投票/怎么/？,
train-00218,A,人们的生活成本较高。,人/生活/成本/高/。,
train-00219,A,人们的消费观念和消费市场正在发生转变。,人/消费1/观念/市场/改变/有/。,
train-00220,A,人们的生活不再单单追求物质上的满足。,人/生活/物质2/一/要/不是/。,
train-00221,A,人们说出了他的恶行。,他/劣迹/人们/说/有/。,
train-00222,A,人口老龄化问题很严重。,人/口/老/改变/严重/。,
train-00223,A,人民医院怎么走？,人民/医院/哪/？,
train-00224,A,人民生活水平的提高了。,人民/生活/水平/提高/。,
train-00225,A,人生有许多困难和失败。,人生/困难/失败/多/。,人生
train-00226,A,人类依旧过着正常的生活。,人类/正常/生活/一样/。,
train-00227,A,人都到齐了吗？,人/都/到/？,
train-00228,A,为什么这么高兴？,高兴/为什么/？,
train-00229,A,什么情况？,什么/情况/？,
train-00230,A,什么时候开始痛的？,疼痛2/什么/时间/开始/？,
train-00231,A,什么时候我们可以听到胎儿的心跳？,怀孕/心/声音/什么/时间/听/可以/？,
train-00232,A,什么是内阁？,内阁/什么/？,
train-00233,A,什么是卡拉OK？,卡拉ok/什么/？,
train-00234,A,谁说这类回收站挣钱呢。,这里/接受/房/赚/钱/可以/谁/说/。,
train-00235,A,什么问题都可以？,都/问题/可以/？,
train-00236,A,今天一起去玩怎么样？,今天/和/去/玩/怎么/？,
train-00237,A,今天上午吃完饭。,今天/上午/饭/吃/完/。,
train-00238,A,今天不冷也不热。,今天/天气/冷/不/热/不/。,
train-00239,A,今天休息。,今天/休息/。,
train-00240,A,今天会下雨吗？,今天/下雨/不/？,
train-00241,A,今天先进行到这里吧。,今天/现在/完成/。,
train-00242,A,今天是几月几号？,今天/日期/什么/？,
train-00243,A,今天有太阳。,今天/太阳/有/。,
train-00244,A,今天发工资。,今天/工资/发/。,
train-00245,A,今天发生的有趣的事情。,今天/兴趣/事情/有/。,
train-00246,A,今天天气真不错，你还好吗？,今天/天气/好/你/好/？,
train-00247,A,今天天气真好。,今天/天气/好/真/。,
train-00248,A,今天好闷啊。,今天/烦闷/最1/。,
train-00249,A,今天妈妈会送你去学校。,今天/妈妈/护送/你/学校/去/会/。,
train-00250,A,今天学校放假。,今天/学校/休息/。,
train-00251,A,今天有暴风雨。,今天/暴风骤雨/有/。,
train-00252,A,今天就旷工了。,今天/旷工/有/。,
train-00253,A,今天心情特别好。,今天/心情/好/很/。,
train-00254,A,今天要完成这份报告。,今天/这里/报告/完成/要/。,
train-00255,A,今天忙了一天了。,今天/忙/一直/。,
train-00256,A,今天我不用早睡。,今天/我/早/睡觉/不/。,
train-00257,A,今天我们上新课。,今天/我们/新/课/。,
train-00258,A,今天我们逃课，怎么样？,今天/我们/课/逃/怎么/？,
train-00259,A,今天我心情不错。,今天/我/心情/可以/。,
train-00260,A,今天我想再买一组沙发套。,今天/我/想/再/买/沙发/套/。,套
train-00261,A,今天我有很多工作要做。,今天/我/工作1/多/。,
train-00262,A,今天新来了一个员工。,今天/新/员工/来/有/。,
train-00263,A,今天早上感觉怎么样？,今天/早上1/感觉/怎么/？,
train-00264,A,今天早餐吃什么？,今天/早上1/吃/什么/？,
train-00265,A,今天明天没时间。,今天/明天/时间/没有/。,
train-00266,A,今天星期几？,今天/一星期/多少/？,
train-00267,A,今天是周一。,今天/周一/。,周一
train-00268,A,今天是周五。,今天/周五/。,周五
train-00269,A,今天是周日。,今天/周日/。,周日
train-00270,A,今天晚上去海边。,今天/晚上/海边/去/。,
train-00271,A,今天晚上去跳舞。,今天/晚上/跳舞/去/。,
train-00272,A,今天晚上想吃点什么？,今天/晚上/吃/什么/？,
train-00273,A,今天有什么特价吗？,今天/特别/价钱/有/？,
train-00274,A,今天是来贺寿的。,今天/祝/生日/是/。,
train-00275,A,今天的人民币汇率是多少？,今天/人民/汇率/多少/？,
train-00276,A,今天的天气让人不舒服。,今天/天气/舒服/不/。,
train-00277,A,今天的学校用品是什么？,今天/学校/用/品/什么/？,
train-00278,A,今天的早餐很好。,今天/早上1/吃/好/。,
train-00279,A,今天的气温是多少？,今天/温度/多少/？,
train-00280,A,今天的气温零下9摄氏度。,今天/温度/零/下/九/摄氏度/。,
train-00281,A,今天的牛肉很不错。,今天/牛/肉/好/。,
train-00282,A,今天的运气真好。,今天/幸运/。,
train-00283,A,今天的饭真好吃。,今天/吃/好/。,
train-00284,A,今天老师表扬我了。,今天/老师/称赞（我）/有/。,
train-00285,A,今天要加班。,今天/加班/要/。,
train-00286,A,今天该你扔垃圾了。,今天/垃圾/你/丢/。,
train-00287,A,今天轮到我们打扫卫生了。,今天/我们/扫地/卫生/要/。,
train-00288,A,今天过得愉快吗？,今天/开心/？,
train-00289,A,今天运气不佳。,今天/倒霉/。,
train-00290,A,今天这个冰淇淋打折吗？,今天/这里/冰淇淋/打折/可以/？,
train-00291,A,今天非常冷。,今天/冷/很1/。,
train-00292,A,今天风和日丽。,今天/天气/舒服/美丽/。,
train-00293,A,今天风很大。,今天/狂风/。,
train-00294,A,今年夏天持续的时间会长一点。,今天/年/夏天/时间/长/。,
train-00295,A,今年房价上涨很快。,今天/年/房/价格/上升/快/。,
train-00296,A,今年的天气不正常。,今天/年/天气/正常/不/。,
train-00297,A,今天早上我去面试了。,今天/早上1/我/表面/考试/有/。,
train-00298,A,今晚你加班吗？,今天/晚上/你/加班/？,
train-00299,A,今晚你有空吗？,今天/晚上/你/时间/有/？,
train-00300,A,今晚我们一起看电影吧。,今天/晚上/我们/和/看/电影/。,
train-00301,A,今晚我有个约会。,今天/晚上/我/约会/有/。,
train-00302,A,今晚没什么时间。,今天/晚上/时间/没有/。,
train-00303,A,今晚瑜伽课什么时候开始呢？,今天/晚上/瑜伽/课/开始/什么/时间/？,瑜伽
train-00304,A,今晚能帮我照看一下孩子吗？,今天/晚上/帮助（我）/照顾/小孩/可以/？,
train-00305,A,从个人角度考虑，你对快递物流速度的要求。,自己/角/程度/考虑/你/对/买/快递/速度/要求/。,
train-00306,A,从书本和电视上学的。,书/电视/里/学/。,
train-00307,A,从他的口音判断，他是南方人。,他/说/声音/判断/他/南2/方/人/。,
train-00308,A,从现实角度出发。,现实/角/程度/开始/。,
train-00309,A,他一下子就说到重点了。,他/快/说/重2/点/。,点
train-00310,A,他一分钟都等不了。,他/一分钟/等/不行2/。,
train-00311,A,他一脸欣慰的看着我。,他/表情/满意/看（我）/。,
train-00312,A,他不会让你失望的。,他/让/你/失望/不/。,
train-00313,A,他不喜欢整天闲待着什么也不干。,他无聊/事情2/没有/不喜欢/。,
train-00314,A,他不敢告诉我。,他/告诉（我）/不/勇敢/。,
train-00315,A,他不敢把车停放在那里。,他/车/停止/那/不/勇敢/。,
train-00316,A,他厌烦的说道。,他/厌烦/说/。,
train-00317,A,他与他兄弟看上去一模一样。,他/和/他/哥哥/弟弟/脸/一样/。,
train-00318,A,他为什么那么不礼貌？,他/礼貌/不/为什么/？,
train-00319,A,他亲自来看我了。,他/自己/来/看（我）/。,
train-00320,A,他今天是我们的向导吗？,他/我们/今天/向导/是/？,
train-00321,A,他以前提到过你的名字。,他/以前/提/你/名字/有/。,
train-00322,A,他以成为一位成功的作家为目标。,他/目标/成功1/作家/是/。,
train-00323,A,他以点头的方式回应了我的问题。,他/答应/回答/我/问题/。,
train-00324,A,他们不需要对你的人生负责。,他/对/你/人生/负责/不/。,人生
train-00325,A,他们也都看出来了。,他们/看1/发现/有/。,
train-00326,A,他们从这些事实中得出了一个结论。,他们/从/事实/结果/收获/有/。,
train-00327,A,他们减少了不必要的开支。,他们/没必要/消费/减少/。,
train-00328,A,他们表扬了他。,他们/表扬/他/有/。,
train-00329,A,他们对我们在这方面的研究评价很高。,他们/对/我们/这/方/面/研究/评价/高/。,面
train-00330,A,他们将在半小时到达。,他们/半/小时/到/。,
train-00331,A,他们已经下滑超过六个月了。,他们/降/6/月/超/。,
train-00332,A,他们平均每天工作10个小时。,他们/平均/每天/工作/10/小时/。,
train-00333,A,他们开始储藏冬天用的柴火。,他们/开始/储备/冬天/用/木/。,
train-00334,A,他们想再碰一次运气。,他们/再/试/运气/想/。,试
train-00335,A,他们拥立他为国王。,他们/拥护/他/做/君主/。,
train-00336,A,他们星期六开门吗？,他们/星期六/门/开/？,
train-00337,A,他们是我的朋友。,他们/我/朋友/是/。,
train-00338,A,他们正在冷战。,他们/现在/冷/战斗/。,
train-00339,A,他们的商行在那笔交易中亏了本。,他们/商业/在/那/交易/亏本/有/。,
train-00340,A,他们穿着红白相间的衣服。,他们/衣服/红/白/有/。,
train-00341,A,他们觉得一天走40英里无所谓。,他们/认为/一天/走/40/英国{英国词汇第1个手势动作}/里/无所谓/。,
train-00342,A,他们说我条件太好了。,他们/说/我/条件/好/。,
train-00343,A,他们雇用他为顾问。,他们/聘用/他/做/顾问/。,
train-00344,A,他好像在回忆什么？,他/回忆/什么/像/？,
train-00345,A,他使我想起了他的弟弟。,他/让/我/想/他/弟弟/有/。,
train-00346,A,他修理了他的房子。,他/房/修理/完了/。,
train-00347,A,他停顿了一下。,他/停止/有/。,
train-00348,A,他偷了你什么？,他/偷/你/什么/？,
train-00349,A,他内心无奈的苦笑。,他/心/愁眉苦脸/笑/。,
train-00350,A,他说不行。,他/说/不行2/。,
train-00351,A,他出生在纽约。,他/出生/纽约/。,
train-00352,A,他刚刚在旅馆办好了入住手续。,他/刚才/在/旅馆/办/住/手续/。,办
train-00353,A,他十八岁高中毕业。,他/年龄/十/八/高中/毕业/有/。,
train-00354,A,他去拿碗了。,他/去/拿/碗/。,
train-00355,A,他又一次违背了承诺。,他/又/违反2/承诺/。,
train-00356,A,他又高又瘦。,他/高/瘦/。,
train-00357,A,他只是个孩子。,他/小孩/是/。,
train-00358,A,他和我同岁。,他/我/年龄/一样/。,
train-00359,A,他哥哥开汽车。,他/哥哥/开车/。,
train-00360,A,他喜欢在教室睡觉。,他/教室/睡觉/喜欢/。,
train-00361,A,他因为生病，所以才缺席。,他/病/来/没有/。,
train-00362,A,他因缺钱而买不起这块金表。,他/钱/不够/手表/买/不行/。,
train-00363,A,他在超市里卖肉。,他/在/超市/卖/肉/。,
train-00364,A,他在乡村过着幸福的生活。,他/在/农村/生活/幸福/。,
train-00365,A,他在湖底发现了一艘船。,他/在/湖/最后/发现/船/。,
train-00366,A,他在筹集资金。,他/钱/筹备/。,
train-00367,A,他在花园中间种上玫瑰。,他/花园/中间/种植/玫瑰花/。,
train-00368,A,他在英语方面会超过别人。,他/英语/超过/别人/会/。,英语
train-00369,A,他在选举中获胜。,他/选举2/胜利1/。,
train-00370,A,他声称你的警官殴打了他。,他/说/你/警察/打/他/有/。,
train-00371,A,他大部分时间都在网上和朋友聊天。,他/大/部分/时间/网络/和/朋友/聊天/。,
train-00372,A,他对数学没有兴趣。,他/对/数学/兴趣/没有/。,
train-00373,A,他对这个问题考虑了好几天才做出决定。,他/对/这/问题/考虑/多少/天/最后/决定/。,
train-00374,A,他的工作落后了。,他/工作1/落后/。,
train-00375,A,他已经习惯在外面吃饭了。,他/习惯/在/外/吃饭/。,
train-00376,A,他已经结婚了。,他/结婚/完了/。,
train-00377,A,他应该对这一交通事故负责任。,他/对/这/交通/出事/负责/要/。,
train-00378,A,他建议你立刻离开这儿。,他/建议/你/现在/去/。,
train-00379,A,他建议搞一次野餐。,他/建议/外/和/吃/。,
train-00380,A,他开车真慢啊。,他/开车/慢/。,
train-00381,A,他弟弟去银行取钱了。,他/弟弟/去/银行/取/钱/。,
train-00382,A,他弟弟开车技术不是很好吗？,他/弟弟/开车/技术/好/是/？,
train-00383,A,他弟弟让他朋友开车。,他/弟弟/让/他/朋友/开车/。,
train-00384,A,他很高兴能使别人了解他。,别人/了解/他/他/高兴/。,
train-00385,A,他必须赔偿。,他/必须/赔偿/。,
train-00386,A,他走路很快。,他/走/快/。,
train-00387,A,他总是吃完晚饭后直接就去睡觉。,他/经常/晚上/吃/完/直接/睡觉/。,
train-00388,A,他总是吹牛。,他/经常/吹牛/。,
train-00389,A,他总是嫌我在房间里吸烟。,他/经常/不愿意/我/在/房/吸烟/。,
train-00390,A,他总觉得低人一等。,他/经常/认为/自己/落后/。,
train-00391,A,他情绪十分低落。,他/情绪/失望/。,
train-00392,A,他承认工作中犯了一个错误。,他/承认/工作1/错/有/。,
train-00393,A,他把书合了起来。,他/书/合/。,合
